,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
321,1,0,3.1,14,48,73,250.0,8242
322,1,0,3.9,70,1,37,400.0,8242
323,1,0,3.9,91,31,16,300.0,8242
324,1,0,3.6,45,31,73,200.0,8242
325,1,0,3.4,7,1,73,250.0,8242
326,1,0,3.8,28,1,73,150.0,8242
327,1,0,3.6,24,1,24,600.0,8242
328,1,0,3.8,36,4,37,200.0,8242
329,1,0,3.5,11,31,73,200.0,8242
330,1,0,3.8,77,48,16,650.0,8242
331,1,0,3.2,8,1,83,100.0,8242
332,1,0,3.7,14,31,73,100.0,470
333,1,0,3.8,210,48,24,600.0,8242
334,1,0,4.1,130,31,16,650.0,8242
335,1,0,4.1,30,31,11,100.0,8242
336,1,0,3.8,144,1,16,700.0,8242
337,1,0,3.4,11,4,6,800.0,8242
338,1,0,3.7,133,31,24,700.0,8242
339,1,0,4.0,136,31,73,350.0,2764
340,1,0,3.1,4,4,73,200.0,8242
341,1,0,3.5,11,4,84,200.0,8242
342,1,0,3.8,74,4,73,300.0,8242
343,1,0,3.7,30,4,73,300.0,8242
344,1,0,3.0,7,4,73,200.0,8242
345,1,0,3.8,75,1,23,200.0,166
346,1,0,3.7,54,4,16,600.0,8242
347,1,0,3.6,23,4,56,100.0,8242
348,1,0,3.2,119,1,24,400.0,8242
349,1,0,3.7,73,1,73,400.0,8242
350,1,0,3.4,58,4,16,400.0,8242
351,1,0,3.6,129,1,24,600.0,8242
352,1,0,3.6,24,1,73,250.0,8242
353,1,0,3.0,175,48,73,400.0,8242
354,1,0,3.7,21,56,73,300.0,8242
355,1,0,3.5,41,79,55,400.0,8242
356,1,0,3.6,35,31,73,300.0,8242
357,1,0,4.1,176,4,24,800.0,8242
358,1,0,3.5,45,1,11,300.0,8242
359,1,0,3.7,47,31,77,400.0,8242
360,1,1,3.7,36,31,24,650.0,8242
361,1,0,3.8,52,48,14,400.0,6505
362,1,0,2.7,123,1,73,200.0,8242
363,1,0,3.6,59,48,24,700.0,8242
364,1,0,3.2,4,48,73,300.0,8242
365,1,0,3.8,101,1,73,400.0,8242
366,1,0,3.7,54,1,13,400.0,8242
368,1,0,3.6,22,4,73,200.0,8242
369,1,0,3.1,31,1,85,250.0,8242
370,1,0,3.0,29,48,16,500.0,8242
371,1,0,3.4,6,31,11,100.0,8242
372,1,0,3.0,22,4,73,250.0,7388
373,1,0,2.9,11,1,73,500.0,8242
374,1,0,3.9,101,4,73,150.0,8242
375,1,1,4.1,442,31,71,1200.0,8242
376,1,0,3.5,155,4,73,400.0,8242
377,1,0,3.4,12,1,14,150.0,8242
378,1,0,3.6,15,4,73,100.0,8242
379,1,0,3.5,10,4,73,200.0,8242
380,1,0,3.8,25,1,73,300.0,8242
381,1,0,3.8,61,1,73,300.0,8242
382,1,0,3.7,23,83,73,300.0,8242
383,1,0,3.8,25,4,73,350.0,8242
384,1,0,3.7,40,48,73,200.0,3811
385,1,0,3.3,4,4,73,100.0,8242
386,1,0,3.4,8,4,73,150.0,8242
387,1,0,3.5,32,48,73,300.0,8242
388,1,0,3.3,10,4,73,200.0,193
